'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 44, 22', '2019, 7, 24, 0, 44, 22'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 44, 22', '2019, 7, 24, 0, 44, 37'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 44, 37', '2019, 7, 24, 0, 44, 38'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 44, 38', '2019, 7, 24, 0, 44, 41'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 44, 41', '2019, 7, 24, 0, 44, 41'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 44, 41', '2019, 7, 24, 0, 44, 46'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 44, 46', '2019, 7, 24, 0, 44, 47'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 44, 47', '2019, 7, 24, 0, 44, 48'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 44, 48', '2019, 7, 24, 0, 44, 50'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 44, 50', '2019, 7, 24, 0, 44, 50'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 44, 50', '2019, 7, 24, 0, 44, 51'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 44, 51', '2019, 7, 24, 0, 44, 51'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 44, 51', '2019, 7, 24, 0, 44, 51'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 44, 51', '2019, 7, 24, 0, 44, 52'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 44, 52', '2019, 7, 24, 0, 44, 52'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 44, 52', '2019, 7, 24, 0, 44, 52'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 44, 53', '2019, 7, 24, 0, 44, 54'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 44, 54', '2019, 7, 24, 0, 44, 55'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 44, 55', '2019, 7, 24, 0, 44, 56'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 44, 56', '2019, 7, 24, 0, 44, 57'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 44, 57', '2019, 7, 24, 0, 44, 58'
