"id","order_type","seq_no","status_type_val","pr_order_no","sa_order_line_no","company_name","to_item_no","due_dt","toshop_dt","process_by_dt","order_qty,order_uom","form_dim1","form_dim2","form_dim3","form_dim4","form_dim5","form_dim6","dim1","dim2","dim3","dim4","dim5","dim6","dim_uom","pr_center_no","short_desc","instruction"
CUT SIZE 21.21 X 20.48
CUT TOLERANCE +.060/-0
BRING PAPERWORK TO TYLER ONCE CUT
"
"4-MO0000110WK-200-499","MFG","200","Scheduled","MO0000110WK","WO0147494-1/1","FOXSEMICON INTEGRATED TECHNOLOGY (SHANGHAI) INC","6061 11.4 T651 PLATE 0035-00544","11/12/22","2/22/23","11/12/22","4 ea","11.5","","","","","","","","","","","","in","BUR-Hyundai F650","Hyundai F650","MACHINE BLOCKS TO PRINT
INSPECT FINISHED BLOCK ON ATTACHED SHEETS
TAKE FIRST PART TO QUALITY FOR BUYOFF"
"4-MO0000119WK-100-619","MFG","100","Scheduled","MO0000119WK","WO0143823-1/1","Benchmark Electronics","6061 8.08 T651 PLATE 0035-00532","3/27/23","2/27/23","3/27/23","65 ea","8.08","","","","","","","","","","","","in","BUR-Plate Saws","Plate Saws","CUT SIZE 21.48 X 41.78
CUT TOLERANCE +.120/-0
DOT PEEN EACH PART WITH THE FOLLOWING:
PO#, WO#, PART # W/ REV# , ALLOY AND TEMPER, AND HEAT LOT"
"4-MO0000119WK-200-621","MFG","200","Scheduled","MO0000119WK","WO0143823-1/1","Benchmark Electronics","6061 8.08 T651 PLATE 0035-00532","3/27/23","2/27/23","3/27/23","65 ea","8.08","","","","","","","","","","","","in","BUR-Makino a120","Makino a120",""
"4-MO0000119WK-260-624","MFG","260","Scheduled","MO0000119WK","WO0143823-1/1","Benchmark Electronics","6061 8.08 T651 PLATE 0035-00532","3/27/23","2/27/23","3/27/23","65 ea","8.08","","","","","","","","","","","","in","BUR-OKK HM1000S","OKK HM1000S",""
"4-MO0000120WK-100-523","MFG","100","Scheduled","MO0000120WK","WO0145081-1/1","Benchmark Electronics","6061 9.75 T651 PLATE  0035-00626","3/27/23","2/27/23","3/27/23","10 ea","9.75","","","","","","","","","","","","in","BUR-Plate Saws","Plate Saws","PULL MARKED 9.75" PLATE
CUT SIZE 21.48 X 41.78
CUT TOLERANCE +.120/-0
