"id","order_type","seq_no","status_type_val","pr_order_no","sa_order_line_no","company_name","to_item_no","due_dt","toshop_dt","process_by_dt","order_qty,order_uom","form_dim1","form_dim2","form_dim3","form_dim4","form_dim5","form_dim6","dim1","dim2","dim3","dim4","dim5","dim6","dim_uom","pr_center_no","short_desc","instruction"
"4-PRO0164912WK-003-5","PRO","5","Changing","PRO0164912WK","WO0142745-1/3","BUFFCO ENGINEERING","7475 1.25 T7351 PLATE USI ","7/6/23","7/6/23","7/6/23","12 pcs","1.25","","","","","","7","29.5","","","","","in","003","Band Saws - Wichita",""
"4-PRO0165137WK-025-2","PRO","2","Changing","PRO0165137WK","WO0145228-1/1","LMI AEROSPACE – Fredonia","7050 3.0 T7451  PLATE USI ","8/8/23","8/8/23","8/8/23","15 pcs","3","","","","","","3.3","5.1","","","","","in","025","Staged - Wichita",""
"4-PRO0165137WK-011-3","PRO","3","Changing","PRO0165137WK","WO0145228-1/1","LMI AEROSPACE – Fredonia","7050 3.0 T7451  PLATE USI ","8/8/23","8/8/23","8/8/23","15 pcs","3","","","","","","3.3","5.1","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0165137WK-012-4","PRO","4","Changing","PRO0165137WK","WO0145228-1/1","LMI AEROSPACE – Fredonia","7050 3.0 T7451  PLATE USI ","8/8/23","8/8/23","8/8/23","15 pcs","3","","","","","","3.3","5.1","","","","","in","012","MS-6 - Wichita",""
"4-PRO0165137WK-003-5","PRO","5","Changing","PRO0165137WK","WO0145228-1/1","LMI AEROSPACE – Fredonia","7050 3.0 T7451  PLATE USI ","8/8/23","8/8/23","8/8/23","15 pcs","3","","","","","","3.3","5.1","","","","","in","003","Band Saws - Wichita",""
"4-PRO0165282WK-025-2","PRO","2","Changing","PRO0165282WK","WO0142151-1/4","BUFFCO ENGINEERING","7050 5.25 T7451 PLATE USI ","7/13/23","7/13/23","7/13/23","12 pcs","5.25","","","","","","6.375","8.75","","","","","in","025","Staged - Wichita",""
"4-PRO0165282WK-011-3","PRO","3","Changing","PRO0165282WK","WO0142151-1/4","BUFFCO ENGINEERING","7050 5.25 T7451 PLATE USI ","7/13/23","7/13/23","7/13/23","12 pcs","5.25","","","","","","6.375","8.75","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0165282WK-012-4","PRO","4","Changing","PRO0165282WK","WO0142151-1/4","BUFFCO ENGINEERING","7050 5.25 T7451 PLATE USI ","7/13/23","7/13/23","7/13/23","12 pcs","5.25","","","","","","6.375","8.75","","","","","in","012","MS-6 - Wichita",""
"4-PRO0165282WK-003-5","PRO","5","Changing","PRO0165282WK","WO0142151-1/4","BUFFCO ENGINEERING","7050 5.25 T7451 PLATE USI ","7/13/23","7/13/23","7/13/23","12 pcs","5.25","","","","","","6.375","8.75","","","","","in","003","Band Saws - Wichita",""
"4-PRO0166080WK-025-2","PRO","2","Scheduled","PRO0166080WK","WO0143452-1/18","Aerostructures Manufacturing India Pvt Ltd","7050 2.00 T7451 PLATE USI ","3/31/23","3/31/23","3/31/23","25 pcs","2","","","","","","7","7.75","","","","","in","025","Staged - Wichita",""
"4-PRO0166080WK-054-3","PRO","3","Scheduled","PRO0166080WK","WO0143452-1/18","Aerostructures Manufacturing India Pvt Ltd","7050 2.00 T7451 PLATE USI ","3/31/23","3/31/23","3/31/23","25 pcs","2","","","","","","7","7.75","","","","","in","054","Processing - Wichita",""
"4-PRO0166991WK-025-2","PRO","2","Changing","PRO0166991WK","WO0139329-1/8","BUFFCO ENGINEERING","7475 2.25 T7351 PLATE USI ","9/12/23","9/12/23","9/12/23","12 pcs","2.25","","","","","","8.5","35","","","","","in","025","Staged - Wichita",""
"4-PRO0166991WK-011-3","PRO","3","Changing","PRO0166991WK","WO0139329-1/8","BUFFCO ENGINEERING","7475 2.25 T7351 PLATE USI ","9/12/23","9/12/23","9/12/23","12 pcs","2.25","","","","","","8.5","35","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0166991WK-012-4","PRO","4","Changing","PRO0166991WK","WO0139329-1/8","BUFFCO ENGINEERING","7475 2.25 T7351 PLATE USI ","9/12/23","9/12/23","9/12/23","12 pcs","2.25","","","","","","8.5","35","","","","","in","012","MS-6 - Wichita",""
"4-PRO0166991WK-003-5","PRO","5","Changing","PRO0166991WK","WO0139329-1/8","BUFFCO ENGINEERING","7475 2.25 T7351 PLATE USI ","9/12/23","9/12/23","9/12/23","12 pcs","2.25","","","","","","8.5","35","","","","","in","003","Band Saws - Wichita",""
"4-PRO0167329WK-025-2","PRO","2","Changing","PRO0167329WK","WO0144626-1/3","MPM INC","2124 2.5 T851 PLATE USI ","10/5/23","10/5/23","10/5/23","12 pcs","2.5","","","","","","19.5","69.75","","","","","in","025","Staged - Wichita",""
"4-PRO0167329WK-011-3","PRO","3","Changing","PRO0167329WK","WO0144626-1/3","MPM INC","2124 2.5 T851 PLATE USI ","10/5/23","10/5/23","10/5/23","12 pcs","2.5","","","","","","19.5","69.75","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0167329WK-012-4","PRO","4","Changing","PRO0167329WK","WO0144626-1/3","MPM INC","2124 2.5 T851 PLATE USI ","10/5/23","10/5/23","10/5/23","12 pcs","2.5","","","","","","19.5","69.75","","","","","in","012","MS-6 - Wichita",""
"4-PRO0167329WK-003-5","PRO","5","Changing","PRO0167329WK","WO0144626-1/3","MPM INC","2124 2.5 T851 PLATE USI ","10/5/23","10/5/23","10/5/23","12 pcs","2.5","","","","","","19.5","69.75","","","","","in","003","Band Saws - Wichita",""
"4-PRO0167332WK-025-2","PRO","2","Changing","PRO0167332WK","WO0134900-1/10","BUFFCO ENGINEERING","7050 2.00 T7451 PLATE USI ","10/10/23","10/10/23","10/10/23","50 pcs","2","","","","","","3","5.25","","","","","in","025","Staged - Wichita",""
"4-PRO0167332WK-011-3","PRO","3","Changing","PRO0167332WK","WO0134900-1/10","BUFFCO ENGINEERING","7050 2.00 T7451 PLATE USI ","10/10/23","10/10/23","10/10/23","50 pcs","2","","","","","","3","5.25","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0167332WK-012-4","PRO","4","Changing","PRO0167332WK","WO0134900-1/10","BUFFCO ENGINEERING","7050 2.00 T7451 PLATE USI ","10/10/23","10/10/23","10/10/23","50 pcs","2","","","","","","3","5.25","","","","","in","012","MS-6 - Wichita",""
"4-PRO0167332WK-003-5","PRO","5","Changing","PRO0167332WK","WO0134900-1/10","BUFFCO ENGINEERING","7050 2.00 T7451 PLATE USI ","10/10/23","10/10/23","10/10/23","50 pcs","2","","","","","","3","5.25","","","","","in","003","Band Saws - Wichita",""
"4-PRO0167336WK-025-2","PRO","2","Scheduled","PRO0167336WK","WO0140437-1/3","BUFFCO ENGINEERING","7475 1.25 T7351 PLATE USI ","7/6/23","7/6/23","7/6/23","12 pcs","1.25","","","","","","10.5","30","","","","","in","025","Staged - Wichita",""
"4-PRO0167336WK-011-3","PRO","3","Scheduled","PRO0167336WK","WO0140437-1/3","BUFFCO ENGINEERING","7475 1.25 T7351 PLATE USI ","7/6/23","7/6/23","7/6/23","12 pcs","1.25","","","","","","10.5","30","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0167532WK-025-2","PRO","2","Changing","PRO0167532WK","WO0144824-1/8","L. H. Thomson","7075 1.25 X 1.5 T73511 EXT REC ","7/31/23","7/31/23","7/31/23","645 pcs","1.25","1.5","","","","","2.7","","","","","","in","025","Staged - Wichita",""
"4-PRO0167532WK-011-3","PRO","3","Changing","PRO0167532WK","WO0144824-1/8","L. H. Thomson","7075 1.25 X 1.5 T73511 EXT REC ","7/31/23","7/31/23","7/31/23","645 pcs","1.25","1.5","","","","","2.7","","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0167532WK-012-4","PRO","4","Changing","PRO0167532WK","WO0144824-1/8","L. H. Thomson","7075 1.25 X 1.5 T73511 EXT REC ","7/31/23","7/31/23","7/31/23","645 pcs","1.25","1.5","","","","","2.7","","","","","","in","012","MS-6 - Wichita",""
"4-PRO0167532WK-003-5","PRO","5","Changing","PRO0167532WK","WO0144824-1/8","L. H. Thomson","7075 1.25 X 1.5 T73511 EXT REC ","7/31/23","7/31/23","7/31/23","645 pcs","1.25","1.5","","","","","2.7","","","","","","in","003","Band Saws - Wichita",""
"4-PRO0167614WK-025-2","PRO","2","Scheduled","PRO0167614WK","WO0142898-1/6","BUFFCO ENGINEERING","7050 .750 T7451 PLATE USI ","7/5/23","7/5/23","7/5/23","50 pcs","0.75","","","","","","1.9","9.5","","","","","in","025","Staged - Wichita",""
"4-PRO0167614WK-011-3","PRO","3","Scheduled","PRO0167614WK","WO0142898-1/6","BUFFCO ENGINEERING","7050 .750 T7451 PLATE USI ","7/5/23","7/5/23","7/5/23","50 pcs","0.75","","","","","","1.9","9.5","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0167652WK-025-2","PRO","2","Scheduled","PRO0167652WK","WO0146219-1/4","MAX AEROSTRUCTURES LLC","7075 2.50 X 3.75 T73 BAR ","7/7/23","7/7/23","7/7/23","120 pcs","2.5","3.75","","","","","9","","","","","","in","025","Staged - Wichita",""
"4-PRO0167652WK-003-3","PRO","3","Scheduled","PRO0167652WK","WO0146219-1/4","MAX AEROSTRUCTURES LLC","7075 2.50 X 3.75 T73 BAR ","7/7/23","7/7/23","7/7/23","120 pcs","2.5","3.75","","","","","9","","","","","","in","003","Band Saws - Wichita",""
"4-PRO0168036WK-025-2","PRO","2","Changing","PRO0168036WK","WO0146991-1/1","LMI AEROSPACE – Fredonia","7050 1.50 T7451 PLATE USI ","8/22/23","8/22/23","8/22/23","143 pcs","1.5","","","","","","7","11.6","","","","","in","025","Staged - Wichita",""
"4-PRO0168036WK-011-3","PRO","3","Changing","PRO0168036WK","WO0146991-1/1","LMI AEROSPACE – Fredonia","7050 1.50 T7451 PLATE USI ","8/22/23","8/22/23","8/22/23","143 pcs","1.5","","","","","","7","11.6","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0168036WK-012-4","PRO","4","Changing","PRO0168036WK","WO0146991-1/1","LMI AEROSPACE – Fredonia","7050 1.50 T7451 PLATE USI ","8/22/23","8/22/23","8/22/23","143 pcs","1.5","","","","","","7","11.6","","","","","in","012","MS-6 - Wichita",""
"4-PRO0168036WK-003-5","PRO","5","Changing","PRO0168036WK","WO0146991-1/1","LMI AEROSPACE – Fredonia","7050 1.50 T7451 PLATE USI ","8/22/23","8/22/23","8/22/23","143 pcs","1.5","","","","","","7","11.6","","","","","in","003","Band Saws - Wichita",""
"4-PRO0168050WK-025-2","PRO","2","Changing","PRO0168050WK","WO0145063-1/3","BUFFCO ENGINEERING","7050 .250 T7451 PLATE ","7/27/23","7/27/23","7/27/23","18 pcs","0.25","","","","","","15.25","41","","","","","in","025","Staged - Wichita",""
"4-PRO0168050WK-011-3","PRO","3","Changing","PRO0168050WK","WO0145063-1/3","BUFFCO ENGINEERING","7050 .250 T7451 PLATE ","7/27/23","7/27/23","7/27/23","18 pcs","0.25","","","","","","15.25","41","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0168050WK-012-4","PRO","4","Changing","PRO0168050WK","WO0145063-1/3","BUFFCO ENGINEERING","7050 .250 T7451 PLATE ","7/27/23","7/27/23","7/27/23","18 pcs","0.25","","","","","","15.25","41","","","","","in","012","MS-6 - Wichita",""
"4-PRO0168050WK-003-5","PRO","5","Changing","PRO0168050WK","WO0145063-1/3","BUFFCO ENGINEERING","7050 .250 T7451 PLATE ","7/27/23","7/27/23","7/27/23","18 pcs","0.25","","","","","","15.25","41","","","","","in","003","Band Saws - Wichita",""
"4-PRO0168138WK-025-2","PRO","2","Changing","PRO0168138WK","WO0134079-1/7","BUFFCO ENGINEERING","7050 1.25 T7451 PLATE USI ","9/5/23","9/5/23","9/5/23","22 pcs","1.25","","","","","","9","16.6","","","","","in","025","Staged - Wichita",""
"4-PRO0168138WK-011-3","PRO","3","Changing","PRO0168138WK","WO0134079-1/7","BUFFCO ENGINEERING","7050 1.25 T7451 PLATE USI ","9/5/23","9/5/23","9/5/23","22 pcs","1.25","","","","","","9","16.6","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0168138WK-012-4","PRO","4","Changing","PRO0168138WK","WO0134079-1/7","BUFFCO ENGINEERING","7050 1.25 T7451 PLATE USI ","9/5/23","9/5/23","9/5/23","22 pcs","1.25","","","","","","9","16.6","","","","","in","012","MS-6 - Wichita",""
"4-PRO0168138WK-003-5","PRO","5","Changing","PRO0168138WK","WO0134079-1/7","BUFFCO ENGINEERING","7050 1.25 T7451 PLATE USI ","9/5/23","9/5/23","9/5/23","22 pcs","1.25","","","","","","9","16.6","","","","","in","003","Band Saws - Wichita",""
"4-PRO0168273WK-025-2","PRO","2","Scheduled","PRO0168273WK","WO0147102-1/1","SMITHS ADVANCED METALS","2219 4.0 T851 PLATE USI ","5/4/23","5/4/23","5/4/23","2 pcs","4","","","","","","10.24","16.54","","","","","in","025","Staged - Wichita",""
"4-PRO0168273WK-011-3","PRO","3","Scheduled","PRO0168273WK","WO0147102-1/1","SMITHS ADVANCED METALS","2219 4.0 T851 PLATE USI ","5/4/23","5/4/23","5/4/23","2 pcs","4","","","","","","10.24","16.54","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0168512WK-025-2","PRO","2","Changing","PRO0168512WK","WO0143653-1/4","BUFFCO ENGINEERING","2024 1.75 T351 PLATE USI ","12/12/23","12/12/23","12/12/23","22 pcs","1.75","","","","","","5.5","17.25","","","","","in","025","Staged - Wichita",""
"4-PRO0168512WK-011-3","PRO","3","Changing","PRO0168512WK","WO0143653-1/4","BUFFCO ENGINEERING","2024 1.75 T351 PLATE USI ","12/12/23","12/12/23","12/12/23","22 pcs","1.75","","","","","","5.5","17.25","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0168512WK-012-4","PRO","4","Changing","PRO0168512WK","WO0143653-1/4","BUFFCO ENGINEERING","2024 1.75 T351 PLATE USI ","12/12/23","12/12/23","12/12/23","22 pcs","1.75","","","","","","5.5","17.25","","","","","in","012","MS-6 - Wichita",""
"4-PRO0168512WK-003-5","PRO","5","Changing","PRO0168512WK","WO0143653-1/4","BUFFCO ENGINEERING","2024 1.75 T351 PLATE USI ","12/12/23","12/12/23","12/12/23","22 pcs","1.75","","","","","","5.5","17.25","","","","","in","003","Band Saws - Wichita",""
"4-PRO0168527WK-025-2","PRO","2","Changing","PRO0168527WK","WO0145558-1/3","BUFFCO ENGINEERING","7050 1.75 T7451 PLATE USI ","7/6/23","7/6/23","7/6/23","27 pcs","1.75","","","","","","3.3","31.6","","","","","in","025","Staged - Wichita",""
"4-PRO0168527WK-011-3","PRO","3","Changing","PRO0168527WK","WO0145558-1/3","BUFFCO ENGINEERING","7050 1.75 T7451 PLATE USI ","7/6/23","7/6/23","7/6/23","27 pcs","1.75","","","","","","3.3","31.6","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0168527WK-012-4","PRO","4","Changing","PRO0168527WK","WO0145558-1/3","BUFFCO ENGINEERING","7050 1.75 T7451 PLATE USI ","7/6/23","7/6/23","7/6/23","27 pcs","1.75","","","","","","3.3","31.6","","","","","in","012","MS-6 - Wichita",""
"4-PRO0168527WK-003-5","PRO","5","Changing","PRO0168527WK","WO0145558-1/3","BUFFCO ENGINEERING","7050 1.75 T7451 PLATE USI ","7/6/23","7/6/23","7/6/23","27 pcs","1.75","","","","","","3.3","31.6","","","","","in","003","Band Saws - Wichita",""
"4-PRO0168612WK-025-2","PRO","2","Changing","PRO0168612WK","WO0141530-1/3","BUFFCO ENGINEERING","2024 .375 T351 PLATE ","9/7/23","9/7/23","9/7/23","30 pcs","0.375","","","","","","6","35.5","","","","","in","025","Staged - Wichita",""
"4-PRO0168612WK-011-3","PRO","3","Changing","PRO0168612WK","WO0141530-1/3","BUFFCO ENGINEERING","2024 .375 T351 PLATE ","9/7/23","9/7/23","9/7/23","30 pcs","0.375","","","","","","6","35.5","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0168612WK-012-4","PRO","4","Changing","PRO0168612WK","WO0141530-1/3","BUFFCO ENGINEERING","2024 .375 T351 PLATE ","9/7/23","9/7/23","9/7/23","30 pcs","0.375","","","","","","6","35.5","","","","","in","012","MS-6 - Wichita",""
"4-PRO0168612WK-003-5","PRO","5","Changing","PRO0168612WK","WO0141530-1/3","BUFFCO ENGINEERING","2024 .375 T351 PLATE ","9/7/23","9/7/23","9/7/23","30 pcs","0.375","","","","","","6","35.5","","","","","in","003","Band Saws - Wichita",""
"4-PRO0169053WK-025-2","PRO","2","Changing","PRO0169053WK","WO0140162-1/3","BUFFCO ENGINEERING","7475 1.25 T7351 PLATE USI ","5/4/23","5/4/23","5/4/23","15 pcs","1.25","","","","","","5.5","12.5","","","","","in","025","Staged - Wichita",""
"4-PRO0169053WK-011-3","PRO","3","Changing","PRO0169053WK","WO0140162-1/3","BUFFCO ENGINEERING","7475 1.25 T7351 PLATE USI ","5/4/23","5/4/23","5/4/23","15 pcs","1.25","","","","","","5.5","12.5","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0169053WK-012-4","PRO","4","Changing","PRO0169053WK","WO0140162-1/3","BUFFCO ENGINEERING","7475 1.25 T7351 PLATE USI ","5/4/23","5/4/23","5/4/23","15 pcs","1.25","","","","","","5.5","12.5","","","","","in","012","MS-6 - Wichita",""
"4-PRO0169053WK-003-5","PRO","5","Changing","PRO0169053WK","WO0140162-1/3","BUFFCO ENGINEERING","7475 1.25 T7351 PLATE USI ","5/4/23","5/4/23","5/4/23","15 pcs","1.25","","","","","","5.5","12.5","","","","","in","003","Band Saws - Wichita",""
"4-PRO0169189WK-025-2","PRO","2","Changing","PRO0169189WK","WO0147602-1/1","LMI AEROSPACE – Fredonia","7050 4.00 T7451 PLATE USI ","6/7/23","6/7/23","6/7/23","45 pcs","4","","","","","","3.6","4.5","","","","","in","025","Staged - Wichita",""
"4-PRO0169189WK-011-3","PRO","3","Changing","PRO0169189WK","WO0147602-1/1","LMI AEROSPACE – Fredonia","7050 4.00 T7451 PLATE USI ","6/7/23","6/7/23","6/7/23","45 pcs","4","","","","","","3.6","4.5","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0169189WK-012-4","PRO","4","Changing","PRO0169189WK","WO0147602-1/1","LMI AEROSPACE – Fredonia","7050 4.00 T7451 PLATE USI ","6/7/23","6/7/23","6/7/23","45 pcs","4","","","","","","3.6","4.5","","","","","in","012","MS-6 - Wichita",""
"4-PRO0169189WK-003-5","PRO","5","Changing","PRO0169189WK","WO0147602-1/1","LMI AEROSPACE – Fredonia","7050 4.00 T7451 PLATE USI ","6/7/23","6/7/23","6/7/23","45 pcs","4","","","","","","3.6","4.5","","","","","in","003","Band Saws - Wichita",""
"4-PRO0169539WK-025-2","PRO","2","Changing","PRO0169539WK","WO0147790-1/1","Miltech Machine","2219 2.50" DIA T8511 EXT RD ","1/31/23","1/31/23","1/31/23","96 ft","2.5","","","","","","144","","","","","","in","025","Staged - Wichita",""
"4-PRO0169754WK-025-2","PRO","2","Changing","PRO0169754WK","WO0140158-1/3","BUFFCO ENGINEERING","7075 4.0 T7351 PLATE USI ","7/6/23","7/6/23","7/6/23","14 pcs","4","","","","","","6","51","","","","","in","025","Staged - Wichita",""
"4-PRO0169754WK-011-3","PRO","3","Changing","PRO0169754WK","WO0140158-1/3","BUFFCO ENGINEERING","7075 4.0 T7351 PLATE USI ","7/6/23","7/6/23","7/6/23","14 pcs","4","","","","","","6","51","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0169754WK-012-4","PRO","4","Changing","PRO0169754WK","WO0140158-1/3","BUFFCO ENGINEERING","7075 4.0 T7351 PLATE USI ","7/6/23","7/6/23","7/6/23","14 pcs","4","","","","","","6","51","","","","","in","012","MS-6 - Wichita",""
"4-PRO0169754WK-003-5","PRO","5","Changing","PRO0169754WK","WO0140158-1/3","BUFFCO ENGINEERING","7075 4.0 T7351 PLATE USI ","7/6/23","7/6/23","7/6/23","14 pcs","4","","","","","","6","51","","","","","in","003","Band Saws - Wichita",""
"4-PRO0169763WK-025-2","PRO","2","Changing","PRO0169763WK","WO0144512-1/8","BUFFCO ENGINEERING","7050 4.75 T7451 PLATE USI ","7/6/23","7/6/23","7/6/23","10 pcs","4.75","","","","","","6","36","","","","","in","025","Staged - Wichita",""
"4-PRO0169763WK-011-3","PRO","3","Changing","PRO0169763WK","WO0144512-1/8","BUFFCO ENGINEERING","7050 4.75 T7451 PLATE USI ","7/6/23","7/6/23","7/6/23","10 pcs","4.75","","","","","","6","36","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0169763WK-012-4","PRO","4","Changing","PRO0169763WK","WO0144512-1/8","BUFFCO ENGINEERING","7050 4.75 T7451 PLATE USI ","7/6/23","7/6/23","7/6/23","10 pcs","4.75","","","","","","6","36","","","","","in","012","MS-6 - Wichita",""
"4-PRO0169763WK-003-5","PRO","5","Changing","PRO0169763WK","WO0144512-1/8","BUFFCO ENGINEERING","7050 4.75 T7451 PLATE USI ","7/6/23","7/6/23","7/6/23","10 pcs","4.75","","","","","","6","36","","","","","in","003","Band Saws - Wichita",""
"4-PRO0169764WK-025-2","PRO","2","Changing","PRO0169764WK","WO0144512-1/9","BUFFCO ENGINEERING","7050 4.75 T7451 PLATE USI ","8/1/23","8/1/23","8/1/23","10 pcs","4.75","","","","","","6","36","","","","","in","025","Staged - Wichita",""
"4-PRO0169764WK-011-3","PRO","3","Changing","PRO0169764WK","WO0144512-1/9","BUFFCO ENGINEERING","7050 4.75 T7451 PLATE USI ","8/1/23","8/1/23","8/1/23","10 pcs","4.75","","","","","","6","36","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0169764WK-012-4","PRO","4","Changing","PRO0169764WK","WO0144512-1/9","BUFFCO ENGINEERING","7050 4.75 T7451 PLATE USI ","8/1/23","8/1/23","8/1/23","10 pcs","4.75","","","","","","6","36","","","","","in","012","MS-6 - Wichita",""
"4-PRO0169764WK-003-5","PRO","5","Changing","PRO0169764WK","WO0144512-1/9","BUFFCO ENGINEERING","7050 4.75 T7451 PLATE USI ","8/1/23","8/1/23","8/1/23","10 pcs","4.75","","","","","","6","36","","","","","in","003","Band Saws - Wichita",""
"4-PRO0169868WK-025-2","PRO","2","Changing","PRO0169868WK","WO0148000-1/1","LMI AEROSPACE – Washington","6061 .750 T651 PLATE ","6/5/23","6/5/23","6/5/23","255 pcs","0.75","","","","","","1","2.5","","","","","in","025","Staged - Wichita",""
"4-PRO0169868WK-011-3","PRO","3","Changing","PRO0169868WK","WO0148000-1/1","LMI AEROSPACE – Washington","6061 .750 T651 PLATE ","6/5/23","6/5/23","6/5/23","255 pcs","0.75","","","","","","1","2.5","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0169868WK-012-4","PRO","4","Changing","PRO0169868WK","WO0148000-1/1","LMI AEROSPACE – Washington","6061 .750 T651 PLATE ","6/5/23","6/5/23","6/5/23","255 pcs","0.75","","","","","","1","2.5","","","","","in","012","MS-6 - Wichita",""
"4-PRO0169868WK-003-5","PRO","5","Changing","PRO0169868WK","WO0148000-1/1","LMI AEROSPACE – Washington","6061 .750 T651 PLATE ","6/5/23","6/5/23","6/5/23","255 pcs","0.75","","","","","","1","2.5","","","","","in","003","Band Saws - Wichita",""
"4-PRO0170181WK-025-2","PRO","2","Changing","PRO0170181WK","WO0148143-1/1","LMI AEROSPACE – Fredonia","7050 1.00 T7451 PLATE USI ","6/20/23","6/20/23","6/20/23","24 pcs","1","","","","","","15","28.5","","","","","in","025","Staged - Wichita",""
"4-PRO0170181WK-011-3","PRO","3","Changing","PRO0170181WK","WO0148143-1/1","LMI AEROSPACE – Fredonia","7050 1.00 T7451 PLATE USI ","6/20/23","6/20/23","6/20/23","24 pcs","1","","","","","","15","28.5","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0170181WK-012-4","PRO","4","Changing","PRO0170181WK","WO0148143-1/1","LMI AEROSPACE – Fredonia","7050 1.00 T7451 PLATE USI ","6/20/23","6/20/23","6/20/23","24 pcs","1","","","","","","15","28.5","","","","","in","012","MS-6 - Wichita",""
"4-PRO0170181WK-003-5","PRO","5","Changing","PRO0170181WK","WO0148143-1/1","LMI AEROSPACE – Fredonia","7050 1.00 T7451 PLATE USI ","6/20/23","6/20/23","6/20/23","24 pcs","1","","","","","","15","28.5","","","","","in","003","Band Saws - Wichita",""
"4-PRO0170356WK-025-2","PRO","2","Changing","PRO0170356WK","WO0143037-1/3","BUFFCO ENGINEERING","7050 .750 T7451 PLATE USI ","9/26/23","9/26/23","9/26/23","21 pcs","0.75","","","","","","5.5","17","","","","","in","025","Staged - Wichita",""
"4-PRO0170356WK-011-3","PRO","3","Changing","PRO0170356WK","WO0143037-1/3","BUFFCO ENGINEERING","7050 .750 T7451 PLATE USI ","9/26/23","9/26/23","9/26/23","21 pcs","0.75","","","","","","5.5","17","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0170356WK-012-4","PRO","4","Changing","PRO0170356WK","WO0143037-1/3","BUFFCO ENGINEERING","7050 .750 T7451 PLATE USI ","9/26/23","9/26/23","9/26/23","21 pcs","0.75","","","","","","5.5","17","","","","","in","012","MS-6 - Wichita",""
"4-PRO0170356WK-003-5","PRO","5","Changing","PRO0170356WK","WO0143037-1/3","BUFFCO ENGINEERING","7050 .750 T7451 PLATE USI ","9/26/23","9/26/23","9/26/23","21 pcs","0.75","","","","","","5.5","17","","","","","in","003","Band Saws - Wichita",""
"4-PRO0170618WK-025-2","PRO","2","Changing","PRO0170618WK","WO0144512-1/10","BUFFCO ENGINEERING","7050 4.75 T7451 PLATE USI ","8/24/23","8/24/23","8/24/23","12 pcs","4.75","","","","","","6","36","","","","","in","025","Staged - Wichita",""
"4-PRO0170618WK-011-3","PRO","3","Changing","PRO0170618WK","WO0144512-1/10","BUFFCO ENGINEERING","7050 4.75 T7451 PLATE USI ","8/24/23","8/24/23","8/24/23","12 pcs","4.75","","","","","","6","36","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0170618WK-012-4","PRO","4","Changing","PRO0170618WK","WO0144512-1/10","BUFFCO ENGINEERING","7050 4.75 T7451 PLATE USI ","8/24/23","8/24/23","8/24/23","12 pcs","4.75","","","","","","6","36","","","","","in","012","MS-6 - Wichita",""
"4-PRO0170618WK-003-5","PRO","5","Changing","PRO0170618WK","WO0144512-1/10","BUFFCO ENGINEERING","7050 4.75 T7451 PLATE USI ","8/24/23","8/24/23","8/24/23","12 pcs","4.75","","","","","","6","36","","","","","in","003","Band Saws - Wichita",""
"4-PRO0170619WK-025-2","PRO","2","Changing","PRO0170619WK","WO0144512-1/11","BUFFCO ENGINEERING","7050 4.75 T7451 PLATE USI ","9/5/23","9/5/23","9/5/23","10 pcs","4.75","","","","","","6","36","","","","","in","025","Staged - Wichita",""
"4-PRO0170619WK-011-3","PRO","3","Changing","PRO0170619WK","WO0144512-1/11","BUFFCO ENGINEERING","7050 4.75 T7451 PLATE USI ","9/5/23","9/5/23","9/5/23","10 pcs","4.75","","","","","","6","36","","","","","in","011","Plate Saws - Wichita",""
"4-PRO0170619WK-012-4","PRO","4","Changing","PRO0170619WK","WO0144512-1/11","BUFFCO ENGINEERING","7050 4.75 T7451 PLATE USI ","9/5/23","9/5/23","9/5/23","10 pcs","4.75","","","","","","6","36","","","","","in","012","MS-6 - Wichita",""
"4-PRO0170619WK-003-5","PRO","5","Changing","PRO0170619WK","WO0144512-1/11","BUFFCO ENGINEERING","7050 4.75 T7451 PLATE USI ","9/5/23","9/5/23","9/5/23","10 pcs","4.75","","","","","","6","36","","","","","in","003","Band Saws - Wichita",""
